environment,seed,method,budget,future_tasks,ndcg,recall_at_10,total_search_calls,total_sample_calls,total_llm_calls,total_input_tokens,total_output_tokens,measured_onboarding_generation_seconds,amortized_setup_generation_seconds_per_future_task
fiqa_bm25,23,information_gain,16,50,0.23128133693078542,0.305,82.0,16.0,54.666666666666664,22462.333333333332,6088.666666666667,73.66888182834373,1.4733776365668745
fiqa_bm25,23,information_gain,16,200,0.23128133693078542,0.305,232.0,16.0,74.66666666666667,30266.333333333332,8697.666666666668,73.66888182834373,0.3683444091417186
fiqa_bm25,23,information_gain,32,1,0.23128133693078542,0.305,73.0,16.0,48.13333333333333,19913.02666666667,5236.393333333333,73.66888182834373,73.66888182834373
fiqa_bm25,23,information_gain,32,10,0.23128133693078542,0.305,82.0,16.0,49.333333333333336,20381.266666666666,5392.933333333333,73.66888182834373,7.366888182834373
fiqa_bm25,23,information_gain,32,50,0.23128133693078542,0.305,122.0,16.0,54.666666666666664,22462.333333333332,6088.666666666667,73.66888182834373,1.4733776365668745
fiqa_bm25,23,information_gain,32,200,0.23128133693078542,0.305,272.0,16.0,74.66666666666667,30266.333333333332,8697.666666666668,73.66888182834373,0.3683444091417186
fiqa_bm25,23,decision_value,0,1,0.23978653908293807,0.30944444444444447,1.1333333333333333,0.0,0.13333333333333333,52.026666666666664,17.393333333333334,0.0,0.0
fiqa_bm25,23,decision_value,0,10,0.23978653908293807,0.30944444444444447,11.333333333333332,0.0,1.3333333333333333,520.2666666666667,173.93333333333334,0.0,0.0
fiqa_bm25,23,decision_value,0,50,0.23978653908293807,0.30944444444444447,56.666666666666664,0.0,6.666666666666667,2601.333333333333,869.6666666666667,0.0,0.0
fiqa_bm25,23,decision_value,0,200,0.23978653908293807,0.30944444444444447,226.66666666666666,0.0,26.666666666666668,10405.333333333332,3478.666666666667,0.0,0.0
fiqa_bm25,23,decision_value,4,1,0.25734741150410106,0.3233333333333333,9.0,16.0,48.0,19861.0,5219.0,73.66888182834373,73.66888182834373
fiqa_bm25,23,decision_value,4,10,0.25734741150410106,0.3233333333333333,18.0,16.0,48.0,19861.0,5219.0,73.66888182834373,7.366888182834373
fiqa_bm25,23,decision_value,4,50,0.25734741150410106,0.3233333333333333,58.0,16.0,48.0,19861.0,5219.0,73.66888182834373,1.4733776365668745
fiqa_bm25,23,decision_value,4,200,0.25734741150410106,0.3233333333333333,208.0,16.0,48.0,19861.0,5219.0,73.66888182834373,0.3683444091417186
fiqa_bm25,23,decision_value,8,1,0.23128133693078542,0.305,17.0,16.0,48.13333333333333,19913.02666666667,5236.393333333333,73.66888182834373,73.66888182834373
fiqa_bm25,23,decision_value,8,10,0.23128133693078542,0.305,26.0,16.0,49.333333333333336,20381.266666666666,5392.933333333333,73.66888182834373,7.366888182834373
fiqa_bm25,23,decision_value,8,50,0.23128133693078542,0.305,66.0,16.0,54.666666666666664,22462.333333333332,6088.666666666667,73.66888182834373,1.4733776365668745
fiqa_bm25,23,decision_value,8,200,0.23128133693078542,0.305,216.0,16.0,74.66666666666667,30266.333333333332,8697.666666666668,73.66888182834373,0.3683444091417186
fiqa_bm25,23,decision_value,16,1,0.23128133693078542,0.305,34.0,16.0,48.13333333333333,19913.02666666667,5236.393333333333,73.66888182834373,73.66888182834373
fiqa_bm25,23,decision_value,16,10,0.23128133693078542,0.305,43.0,16.0,49.333333333333336,20381.266666666666,5392.933333333333,73.66888182834373,7.366888182834373
fiqa_bm25,23,decision_value,16,50,0.23128133693078542,0.305,83.0,16.0,54.666666666666664,22462.333333333332,6088.666666666667,73.66888182834373,1.4733776365668745
fiqa_bm25,23,decision_value,16,200,0.23128133693078542,0.305,233.0,16.0,74.66666666666667,30266.333333333332,8697.666666666668,73.66888182834373,0.3683444091417186
fiqa_bm25,23,decision_value,32,1,0.23128133693078542,0.305,70.0,16.0,48.13333333333333,19913.02666666667,5236.393333333333,73.66888182834373,73.66888182834373
fiqa_bm25,23,decision_value,32,10,0.23128133693078542,0.305,79.0,16.0,49.333333333333336,20381.266666666666,5392.933333333333,73.66888182834373,7.366888182834373
fiqa_bm25,23,decision_value,32,50,0.23128133693078542,0.305,119.0,16.0,54.666666666666664,22462.333333333332,6088.666666666667,73.66888182834373,1.4733776365668745
fiqa_bm25,23,decision_value,32,200,0.23128133693078542,0.305,269.0,16.0,74.66666666666667,30266.333333333332,8697.666666666668,73.66888182834373,0.3683444091417186
fiqa_bm25,47,random,0,1,0.23978653908293807,0.30944444444444447,1.1333333333333333,0.0,0.13333333333333333,52.026666666666664,17.393333333333334,0.0,0.0
fiqa_bm25,47,random,0,10,0.23978653908293807,0.30944444444444447,11.333333333333332,0.0,1.3333333333333333,520.2666666666667,173.93333333333334,0.0,0.0
fiqa_bm25,47,random,0,50,0.23978653908293807,0.30944444444444447,56.666666666666664,0.0,6.666666666666667,2601.333333333333,869.6666666666667,0.0,0.0
fiqa_bm25,47,random,0,200,0.23978653908293807,0.30944444444444447,226.66666666666666,0.0,26.666666666666668,10405.333333333332,3478.666666666667,0.0,0.0
