environment,seed,budget,method,ndcg,delta_vs_source_router,recall_at_10,delta_recall_at_10_vs_source_router,changed_action_fraction,measured_onboarding_generation_seconds,onboarding_search_calls,onboarding_sample_calls,onboarding_llm_calls,onboarding_input_tokens,onboarding_output_tokens,mean_task_search_calls,mean_task_sample_calls,mean_task_llm_calls,mean_task_input_tokens,mean_task_output_tokens,corpus_name,backend,selected_probe_pairs
nfcorpus_bm25,23,16,information_gain,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,100.15326391182316,32.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,16
nfcorpus_bm25,23,32,information_gain,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,100.15326391182316,65.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,32
nfcorpus_bm25,23,0,learned_value,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,0
nfcorpus_bm25,23,4,learned_value,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,100.15326391182316,8.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,4
nfcorpus_bm25,23,8,learned_value,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,100.15326391182316,17.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,8
nfcorpus_bm25,23,16,learned_value,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,100.15326391182316,34.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,16
nfcorpus_bm25,23,32,learned_value,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,100.15326391182316,71.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,32
nfcorpus_bm25,47,0,source_router,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,0
nfcorpus_bm25,47,4,source_router,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,0
nfcorpus_bm25,47,8,source_router,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,0
nfcorpus_bm25,47,16,source_router,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,0
nfcorpus_bm25,47,32,source_router,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,0
nfcorpus_bm25,47,0,random,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,0
nfcorpus_bm25,47,4,random,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,96.14452316188545,10.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,4
nfcorpus_bm25,47,8,random,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,96.14452316188545,18.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,8
nfcorpus_bm25,47,16,random,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,96.14452316188545,35.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,16
nfcorpus_bm25,47,32,random,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,96.14452316188545,71.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,32
nfcorpus_bm25,47,0,fixed,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,0
nfcorpus_bm25,47,4,fixed,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,96.14452316188545,9.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,4
nfcorpus_bm25,47,8,fixed,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,96.14452316188545,18.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,8
nfcorpus_bm25,47,16,fixed,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,96.14452316188545,36.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,16
nfcorpus_bm25,47,32,fixed,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,96.14452316188545,72.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,32
nfcorpus_bm25,47,0,information_gain,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,0
nfcorpus_bm25,47,4,information_gain,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,96.14452316188545,8.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,4
nfcorpus_bm25,47,8,information_gain,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,96.14452316188545,16.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,8
nfcorpus_bm25,47,16,information_gain,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,96.14452316188545,32.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,16
nfcorpus_bm25,47,32,information_gain,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,96.14452316188545,66.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,32
nfcorpus_bm25,47,0,learned_value,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,0
nfcorpus_bm25,47,4,learned_value,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,96.14452316188545,10.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,4
nfcorpus_bm25,47,8,learned_value,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,96.14452316188545,18.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,8
nfcorpus_bm25,47,16,learned_value,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,96.14452316188545,35.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,16
nfcorpus_bm25,47,32,learned_value,0.24510579949889155,0.0,0.25775147928994085,0.0,0.0,96.14452316188545,71.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,bm25,32
nfcorpus_dense,11,0,source_router,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,11,4,source_router,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,11,8,source_router,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,11,16,source_router,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,11,32,source_router,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,11,0,random,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,11,4,random,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,97.41325913557375,8.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,4
nfcorpus_dense,11,8,random,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,97.41325913557375,16.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,8
nfcorpus_dense,11,16,random,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,97.41325913557375,35.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,16
nfcorpus_dense,11,32,random,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,97.41325913557375,73.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,32
nfcorpus_dense,11,0,fixed,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,11,4,fixed,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,97.41325913557375,9.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,4
nfcorpus_dense,11,8,fixed,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,97.41325913557375,18.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,8
nfcorpus_dense,11,16,fixed,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,97.41325913557375,36.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,16
nfcorpus_dense,11,32,fixed,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,97.41325913557375,72.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,32
nfcorpus_dense,11,0,information_gain,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,11,4,information_gain,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,97.41325913557375,8.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,4
nfcorpus_dense,11,8,information_gain,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,97.41325913557375,16.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,8
nfcorpus_dense,11,16,information_gain,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,97.41325913557375,32.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,16
nfcorpus_dense,11,32,information_gain,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,97.41325913557375,64.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,32
nfcorpus_dense,11,0,learned_value,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,11,4,learned_value,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,97.41325913557375,8.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,4
nfcorpus_dense,11,8,learned_value,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,97.41325913557375,16.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,8
nfcorpus_dense,11,16,learned_value,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,97.41325913557375,35.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,16
nfcorpus_dense,11,32,learned_value,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,97.41325913557375,73.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,32
nfcorpus_dense,23,0,source_router,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,23,4,source_router,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,23,8,source_router,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,23,16,source_router,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,23,32,source_router,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,23,0,random,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,23,4,random,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,100.15326391182316,8.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,4
nfcorpus_dense,23,8,random,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,100.15326391182316,17.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,8
nfcorpus_dense,23,16,random,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,100.15326391182316,34.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,16
nfcorpus_dense,23,32,random,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,100.15326391182316,71.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,32
nfcorpus_dense,23,0,fixed,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,23,4,fixed,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,100.15326391182316,9.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,4
nfcorpus_dense,23,8,fixed,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,100.15326391182316,18.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,8
nfcorpus_dense,23,16,fixed,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,100.15326391182316,36.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,16
nfcorpus_dense,23,32,fixed,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,100.15326391182316,72.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,32
nfcorpus_dense,23,0,information_gain,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,23,4,information_gain,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,100.15326391182316,8.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,4
nfcorpus_dense,23,8,information_gain,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,100.15326391182316,16.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,8
nfcorpus_dense,23,16,information_gain,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,100.15326391182316,32.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,16
nfcorpus_dense,23,32,information_gain,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,100.15326391182316,64.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,32
nfcorpus_dense,23,0,learned_value,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,23,4,learned_value,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,100.15326391182316,8.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,4
nfcorpus_dense,23,8,learned_value,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,100.15326391182316,17.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,8
nfcorpus_dense,23,16,learned_value,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,100.15326391182316,34.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,16
nfcorpus_dense,23,32,learned_value,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,100.15326391182316,71.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,32
nfcorpus_dense,47,0,source_router,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,47,4,source_router,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,47,8,source_router,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
